geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
01001,-23.549951273933896,-46.63402699777831,sao paulo,SP
01002,-23.54822752192854,-46.63524674639332,sao paulo,SP
01003,-23.54897652899767,-46.63531311226845,sao paulo,SP
01004,-23.549550003606676,-46.634770582289825,sao paulo,SP
01005,-23.54976291539134,-46.63610028661863,sao paulo,SP
01006,-23.550317224536894,-46.63622549584506,sao paulo,SP
01007,-23.55034858312654,-46.63734214071785,sao paulo,SP
01008,-23.545450466558925,-46.6356105,sao paulo,SP
01009,-23.546340513734236,-46.63623850320264,sao paulo,SP
01010,-23.54668551681114,-46.635460184341156,sao paulo,SP
01011,-23.546690486964888,-46.6354469588072,sao paulo,SP
01012,-23.54774227061568,-46.63482872807575,são paulo,SP
01013,-23.5473165,-46.63422166665711,sao paulo,SP
01014,-23.546245945322863,-46.63353151540766,sao paulo,SP
01015,-23.54797349999999,-46.63253304968545,sao paulo,SP
01016,-23.549283671100515,-46.631921331563774,sao paulo,SP
01017,-23.549611657914532,-46.63116636914989,são paulo,SP
01018,-23.55158623535693,-46.63270720967747,sao paulo,SP
01019,-23.55166351540767,-46.63093168887411,sao paulo,SP
01020,-23.55242950555425,-46.62934072446477,são paulo,SP
01021,-23.542808668330554,-46.63213975243804,sao paulo,SP
01022,-23.54449190383172,-46.63218004371285,sao paulo,SP
01023,-23.542318875382307,-46.6313376895666,sao paulo,SP
01024,-23.541389521053937,-46.62989908781218,são paulo,SP
01025,-23.540428325970968,-46.63152530492911,sao paulo,SP
01026,-23.539439503750906,-46.632953890394745,são paulo,SP
01027,-23.537980703156606,-46.63039892042236,sao paulo,SP
01028,-23.53624171663104,-46.6320595335853,sao paulo,SP
01029,-23.540724476686478,-46.6328817760257,sao paulo,SP
01030,-23.53967007799065,-46.63297206480466,são paulo,SP
01031,-23.542371579262422,-46.6351406195225,sao paulo,SP
01032,-23.540623983625707,-46.63514797691531,sao paulo,SP
01033,-23.540035348866123,-46.63590402178432,sao paulo,SP
01034,-23.542391769885107,-46.63731110117427,sao paulo,SP
01035,-23.541577961711493,-46.64160722329613,sao paulo,SP
01036,-23.541700023861782,-46.64131782056096,sao paulo,SP
01037,-23.54562128115268,-46.63929204800168,sao paulo,SP
01038,-23.544139809596672,-46.64041077352986,sao paulo,SP
01039,-23.54122001692255,-46.63902859499964,sao paulo,SP
01040,-23.540876706359263,-46.6382183104334,sao paulo,SP
01041,-23.5441348642738,-46.63972725360668,sao paulo,SP
01042,-23.54487359810152,-46.64038040172743,sao paulo,SP
01043,-23.545650980855747,-46.641465617274434,são paulo,SP
01044,-23.54562699916329,-46.64140988467314,sao paulo,SP
01045,-23.542482773295564,-46.64280268887412,sao paulo,SP
01046,-23.54574166250217,-46.64319919124003,sao paulo,SP
01047,-23.545939300724203,-46.64075423063939,sao paulo,SP
01048,-23.547052131282804,-46.639477959749584,são paulo,SP
01049,-23.547765310577624,-46.64024304302038,sao paulo,SP
01050,-23.54896235221301,-46.643139396906825,sao paulo,SP
01101,-23.526091267557256,-46.63137211754856,sao paulo,SP
01102,-23.527305177909845,-46.630607202464105,são paulo,SP
01103,-23.535398519980966,-46.62855836594724,são paulo,SP
01104,-23.53500886427381,-46.62963536441802,sao paulo,SP
01105,-23.53427140341335,-46.62972092651232,sao paulo,SP
01106,-23.531046789341573,-46.62865354731952,sao paulo,SP
01107,-23.528019075076458,-46.62672326429683,sao paulo,SP
01108,-23.52756187663738,-46.629436653975944,sao paulo,SP
01109,-23.52450999194992,-46.62704378864908,sao paulo,SP
01120,-23.529249319868455,-46.63998204641071,sao paulo,SP
01121,-23.527241874271446,-46.63550866097296,sao paulo,SP
01122,-23.531219067718872,-46.63968832737029,são paulo,SP
01123,-23.52934877491485,-46.636433659587965,sao paulo,SP
01124,-23.528446563708158,-46.633341237030365,sao paulo,SP
01125,-23.52628837691152,-46.6404078985516,sao paulo,SP
01126,-23.526854512767606,-46.6396065,sao paulo,SP
01127,-23.52611912738766,-46.64098602997861,sao paulo,SP
01128,-23.523913005554256,-46.64121853587705,sao paulo,SP
01129,-23.523833153341236,-46.64263306216462,sao paulo,SP
01130,-23.52352437163139,-46.64454366771019,sao paulo,SP
01131,-23.522877997201377,-46.64468748237063,sao paulo,SP
01132,-23.521679512767612,-46.648649823619365,sao paulo,SP
01133,-23.51965249624909,-46.65454102553522,sao paulo,SP
01134,-23.5191350111085,-46.651386363855444,são paulo,SP
01135,-23.52677153944895,-46.65202107799064,sao paulo,SP
01136,-23.524322863123952,-46.66345692652486,são paulo,SP
01137,-23.523137474897457,-46.65413409824576,são paulo,SP
01138,-23.521969509016706,-46.65541993450284,sao paulo,SP
01139,-23.52061764308379,-46.664233546745976,sao paulo,SP
01140,-23.51869033443941,-46.66919713321603,sao paulo,SP
01141,-23.521739474464773,-46.666570822710526,são paulo,SP
01142,-23.51993430515264,-46.6251300217966,sao paulo,SP
01144,-23.52375674639551,-46.67206201387848,sao paulo,SP
01150,-23.532361276299834,-46.658279242296146,sao paulo,SP
01151,-23.531294001384985,-46.65697953032487,sao paulo,SP
01152,-23.53019187857062,-46.6558970291419,sao paulo,SP
01153,-23.531845798776637,-46.65214960338163,são paulo,SP
01154,-23.53074632139766,-46.659421708018364,sao paulo,SP
01155,-23.5297665,-46.6629850217843,sao paulo,SP
01156,-23.52994970053087,-46.66461041701768,são paulo,SP
01189,-23.53210825506378,-46.63839470107914,sao paulo,SP
01200,-23.531567773241413,-46.64986907784642,sao paulo,SP
01201,-23.53560101970684,-46.64974682292688,sao paulo,SP
01202,-23.53250959838998,-46.64916678934157,são paulo,SP
01203,-23.534499908130886,-46.64642004509782,sao paulo,SP
01204,-23.538003498228328,-46.6426298049806,sao paulo,SP
01205,-23.534459286989968,-46.64401134944305,são paulo,SP
01206,-23.536609489728185,-46.64244480598998,sao paulo,SP
01207,-23.539369243407013,-46.638486209821714,sao paulo,SP
01208,-23.53836432361936,-46.638626940879455,sao paulo,SP
01209,-23.54069975090345,-46.641743196015355,sao paulo,SP
01210,-23.53997818428648,-46.64242852914191,são paulo,SP
01211,-23.537602755063777,-46.64895440383171,sao paulo,SP
01212,-23.5374331015783,-46.639705500000005,são paulo,SP
01213,-23.536674628916863,-46.64054782737028,sao paulo,SP
01214,-23.539089174303164,-46.64595381895961,sao paulo,SP
01215,-23.536198100467452,-46.64808511296093,são paulo,SP
01216,-23.53269464807544,-46.64647672446477,sao paulo,SP
01217,-23.53244310546075,-46.64927010642174,sao paulo,SP
01218,-23.53041781571351,-46.648655517629365,são paulo,SP
01219,-23.541589587151577,-46.64533737490615,sao paulo,SP
01220,-23.54447196058631,-46.64647349999999,sao paulo,SP
01221,-23.5448069245411,-46.64862050291418,sao paulo,SP
01222,-23.545494233858072,-46.65018175916093,são paulo,SP
01223,-23.54386352207278,-46.6485429970858,sao paulo,SP
01224,-23.54167247821568,-46.65236222925442,sao paulo,SP
01225,-23.539683583126543,-46.649154719401,sao paulo,SP
01226,-23.538546419095155,-46.65306456994057,são paulo,SP
01227,-23.55032645490217,-46.65992584456696,sao paulo,SP
01228,-23.550191570633054,-46.65993018096825,sao paulo,SP
01229,-23.53911697626811,-46.65670692936692,sao paulo,SP
01230,-23.53678982653355,-46.65780402331353,sao paulo,SP
01231,-23.537368424923542,-46.65965714578164,sao paulo,SP
01232,-23.53651535276127,-46.65920567692889,sao paulo,SP
01233,-23.535170371083133,-46.66153616264639,sao paulo,SP
01234,-23.539309261605023,-46.664259499365286,sao paulo,SP
01235,-23.537706642247063,-46.66479390714994,sao paulo,SP
01236,-23.544444562857105,-46.6673910215823,sao paulo,SP
01237,-23.54343710740668,-46.66857970266179,sao paulo,SP
01238,-23.542944348058064,-46.65347143450284,sao paulo,SP
01239,-23.54733835540133,-46.65572302706443,sao paulo,SP
01240,-23.54326883042869,-46.65985692991519,sao paulo,SP
01241,-23.54561360866176,-46.6571419730798,são paulo,SP
01242,-23.546217583126545,-46.65880336372555,sao paulo,SP
01243,-23.54831798779497,-46.659449085204,sao paulo,SP
01244,-23.55027193117028,-46.66073891106945,sao paulo,SP
01245,-23.55018598312412,-46.6640199088955,são paulo,SP
01246,-23.553326943937883,-46.6664048798257,sao paulo,SP
01247,-23.550644849847075,-46.66920043865777,são paulo,SP
01248,-23.547336999163274,-46.66827995031453,sao paulo,SP
01249,-23.5493991829015,-46.67167606189049,sao paulo,SP
01250,-23.547925314602658,-46.67221266180968,sao paulo,SP
01251,-23.54854300970919,-46.67508171003804,são paulo,SP
01252,-23.54173205190716,-46.68037022384439,sao paulo,SP
01253,-23.544687097350565,-46.67914691801201,sao paulo,SP
01254,-23.54336992700101,-46.681446058572256,são paulo,SP
01255,-23.546528162357937,-46.68140007144644,sao paulo,SP
01256,-23.548154323330905,-46.683293049685474,são paulo,SP
01257,-23.54375820483005,-46.687539331669456,sao paulo,SP
01258,-23.544237158621364,-46.68650177409245,sao paulo,SP
01259,-23.54144799249818,-46.685696733625704,sao paulo,SP
01262,-23.550856391462712,-46.67735184892536,sao paulo,SP
01290,-23.54096134139296,-46.657748702752585,são paulo,SP
01301,-23.548813250072115,-46.651481326879804,sao paulo,SP
01302,-23.54928715417796,-46.65310025548213,sao paulo,SP
01303,-23.549143871775623,-46.64896199945174,sao paulo,SP
01304,-23.55409477837729,-46.656003407510504,sao paulo,SP
01305,-23.55224471218764,-46.653019763806334,sao paulo,SP
01306,-23.55357363252355,-46.649316169715526,sao paulo,SP
01307,-23.55237625506378,-46.65295348863168,sao paulo,SP
01308,-23.556208432685164,-46.65324841993188,sao paulo,SP
01309,-23.55461847988913,-46.658488877459774,são paulo,SP
01310,-23.560629789889838,-46.65726094364944,sao paulo,SP
01311,-23.56546074577294,-46.65160504854359,sao paulo,SP
01312,-23.556049111529205,-46.64974666729382,sao paulo,SP
01313,-23.556809775751567,-46.650683697636765,sao paulo,SP
01314,-23.55262252400601,-46.64653223550115,sao paulo,SP
01315,-23.5535985,-46.640620058283815,sao paulo,SP
01316,-23.55298158090484,-46.63971174249818,sao paulo,SP
01317,-23.55944012378097,-46.64226368699865,sao paulo,SP
01318,-23.564597574239738,-46.646856093592774,sao paulo,SP
01319,-23.551959279214017,-46.64163106549717,são paulo,SP
01320,-23.55796144157196,-46.63944674770617,sao paulo,SP
01321,-23.561045916180966,-46.64208740896759,sao paulo,SP
01322,-23.563202542327883,-46.64356963725542,sao paulo,SP
01323,-23.56360092810872,-46.64129065751052,sao paulo,SP
01324,-23.5563983119626,-46.64328123411617,sao paulo,SP
01325,-23.55674089869582,-46.64449217485143,sao paulo,SP
01326,-23.556491151263778,-46.645284391280455,sao paulo,SP
01327,-23.565645,-46.64497597446477,sao paulo,SP
01328,-23.55572139439665,-46.64730274132955,sao paulo,SP
01329,-23.561601202608344,-46.647150715794304,sao paulo,SP
01330,-23.55891445628714,-46.64968040175425,sao paulo,SP
01331,-23.562336279762278,-46.65045114931619,sao paulo,SP
01332,-23.560077368443068,-46.65278620573888,sao paulo,SP
01333,-23.566257450458764,-46.64680601276761,sao paulo,SP
01401,-23.57538559651848,-46.65718691736133,sao paulo,SP
01402,-23.580463023861785,-46.66390862115525,sao paulo,SP
01403,-23.569223343052077,-46.653812740839065,são paulo,SP
01404,-23.5690055409429,-46.65618934096027,sao paulo,SP
01405,-23.565713039961945,-46.65577318166076,sao paulo,SP
01406,-23.576769504010706,-46.67127423564538,são paulo,SP
01407,-23.577202445467098,-46.67263107799064,sao paulo,SP
01408,-23.56736351872589,-46.66138347114656,sao paulo,SP
01409,-23.56327231112588,-46.65957123411617,sao paulo,SP
01410,-23.56386023452021,-46.662011726902826,sao paulo,SP
01411,-23.56480403400366,-46.66451699639332,sao paulo,SP
01412,-23.564227369409686,-46.66663309347044,são paulo,SP
01413,-23.562393663338888,-46.66462742485141,são paulo,SP
01414,-23.56074275575626,-46.664693795314165,são paulo,SP
01415,-23.557744127988823,-46.663202791443695,sao paulo,SP
01416,-23.560257436854428,-46.667819985573274,sao paulo,SP
01417,-23.561598866495498,-46.666202710514185,sao paulo,SP
01418,-23.569709411818376,-46.648470652864766,sao paulo,SP
01419,-23.564171817935215,-46.655402039413694,sao paulo,SP
01420,-23.56496201637429,-46.656248516374276,sao paulo,SP
01421,-23.562732814040068,-46.66092521891052,são paulo,SP
01422,-23.563987507213355,-46.66099346530384,sao paulo,SP
01423,-23.56976284096028,-46.65683162476192,sao paulo,SP
01424,-23.567386012767606,-46.66201962184773,sao paulo,SP
01425,-23.572856965303842,-46.6592021873449,sao paulo,SP
01426,-23.566247308355923,-46.66602547085809,sao paulo,SP
01427,-23.573185889260767,-46.66156307369149,são paulo,SP
01428,-23.574264066882154,-46.66186049278664,sao paulo,SP
01429,-23.57677555870216,-46.663292991805676,são paulo,SP
01430,-23.5752158821773,-46.66563565292287,sao paulo,SP
01431,-23.575940239944558,-46.66520148050951,sao paulo,SP
01432,-23.576839769216363,-46.665836154379974,sao paulo,SP
01433,-23.577661519562607,-46.66914370858096,são paulo,SP
01434,-23.5763167374344,-46.671132211899184,sao paulo,SP
01435,-23.579229666945576,-46.67028460851754,sao paulo,SP
01436,-23.57249501637429,-46.667432996393316,sao paulo,SP
01437,-23.572404732731197,-46.6720207076,sao paulo,SP
01438,-23.570325577009708,-46.672791594927546,sao paulo,SP
01439,-23.565875311962603,-46.673390660294785,sao paulo,SP
